Date,Symbol,Open,High,Low,Close,Volume,Month,Daily_Return,Price_Change,Sector
2024-04-09 05:30:00,JSWSTEEL,881.8,891.45,870.55,874.6,2512308,2024-04,-0.21107878372982336,-7.199999999999932,STEEL
2024-04-10 05:30:00,JSWSTEEL,881.35,889.0,875.35,883.95,2519596,2024-04,1.069060141779099,2.6000000000000227,STEEL
2024-04-12 05:30:00,JSWSTEEL,883.9,883.9,862.0,866.45,4129109,2024-04,-1.9797499858589251,-17.449999999999932,STEEL
2024-04-15 05:30:00,JSWSTEEL,862.9,882.0,850.25,860.45,1974756,2024-04,-0.6924808125108206,-2.449999999999932,STEEL
2024-04-16 05:30:00,JSWSTEEL,859.5,863.6,842.75,845.25,1706563,2024-04,-1.7665175199023775,-14.25,STEEL
2024-04-18 05:30:00,JSWSTEEL,846.1,858.0,841.7,844.8,3437879,2024-04,-0.053238686779066846,-1.3000000000000682,STEEL
2024-04-19 05:30:00,JSWSTEEL,842.85,867.3,833.2,864.8,3157898,2024-04,2.367424242424243,21.949999999999932,STEEL
2024-04-22 05:30:00,JSWSTEEL,867.1,870.9,853.45,854.8,1584578,2024-04,-1.1563367252543921,-12.300000000000068,STEEL
2024-04-23 05:30:00,JSWSTEEL,858.5,865.0,848.55,851.35,1755588,2024-04,-0.4036031820308761,-7.149999999999977,STEEL
2024-04-24 05:30:00,JSWSTEEL,851.35,886.0,850.0,882.7,4257548,2024-04,3.6823867974393742,31.350000000000023,STEEL
2024-04-25 05:30:00,JSWSTEEL,882.7,909.4,874.35,905.8,4893459,2024-04,2.6169706582077623,23.09999999999991,STEEL
2024-04-26 05:30:00,JSWSTEEL,910.0,914.0,884.65,887.25,3626999,2024-04,-2.0479134466769633,-22.75,STEEL
2024-04-29 05:30:00,JSWSTEEL,898.4,902.5,886.15,895.75,1956431,2024-04,0.958016342631729,-2.6499999999999773,STEEL
2024-04-30 05:30:00,JSWSTEEL,902.45,902.75,880.05,882.2,1831578,2024-04,-1.512698855707506,-20.25,STEEL
2024-05-02 05:30:00,JSWSTEEL,883.0,894.6,883.0,890.35,2448369,2024-05,0.9238267966447555,7.350000000000023,STEEL
2024-05-03 05:30:00,JSWSTEEL,895.85,903.7,866.0,874.2,3672279,2024-05,-1.8138934127028716,-21.649999999999977,STEEL
2024-05-06 05:30:00,JSWSTEEL,879.7,893.0,874.35,880.65,2556178,2024-05,0.7378174330816778,0.9499999999999318,STEEL
2024-05-07 05:30:00,JSWSTEEL,880.65,881.05,845.75,857.35,2369111,2024-05,-2.6457730085732045,-23.299999999999955,STEEL
2024-05-08 05:30:00,JSWSTEEL,850.4,866.6,850.4,864.65,1849894,2024-05,0.851460896949896,14.25,STEEL
2024-05-09 05:30:00,JSWSTEEL,864.7,868.8,831.05,834.55,2282517,2024-05,-3.481177354999132,-30.15000000000009,STEEL
2024-05-10 05:30:00,JSWSTEEL,835.95,855.95,835.95,853.6,1947295,2024-05,2.282667305733632,17.649999999999977,STEEL
2024-05-13 05:30:00,JSWSTEEL,847.85,862.5,830.0,860.6,1735081,2024-05,0.8200562324273575,12.75,STEEL
2024-05-14 05:30:00,JSWSTEEL,864.15,884.95,861.2,881.5,2706050,2024-05,2.428538229142463,17.350000000000023,STEEL
2024-05-15 05:30:00,JSWSTEEL,882.0,883.5,863.4,870.95,2194086,2024-05,-1.1968235961429374,-11.049999999999955,STEEL
2024-05-16 05:30:00,JSWSTEEL,872.8,888.45,864.45,886.4,3282175,2024-05,1.773925024398637,13.600000000000023,STEEL
2024-05-17 05:30:00,JSWSTEEL,888.0,914.95,878.7,907.45,4635724,2024-05,2.3747743682310585,19.450000000000045,STEEL
2024-05-18 05:30:00,JSWSTEEL,890.1,899.4,885.15,890.8,638499,2024-05,-1.8348118353628373,0.6999999999999318,STEEL
2024-05-21 05:30:00,JSWSTEEL,892.0,928.95,890.8,923.45,5938708,2024-05,3.6652447238437524,31.450000000000045,STEEL
2024-05-22 05:30:00,JSWSTEEL,925.0,927.3,906.05,915.8,2938404,2024-05,-0.8284151821972063,-9.200000000000045,STEEL
2024-05-23 05:30:00,JSWSTEEL,912.0,920.85,890.7,917.0,3800388,2024-05,0.13103297663246138,5.0,STEEL
2024-05-24 05:30:00,JSWSTEEL,915.0,925.0,906.05,908.65,2113036,2024-05,-0.9105779716466755,-6.350000000000023,STEEL
2024-05-27 05:30:00,JSWSTEEL,910.5,919.15,900.1,901.95,1893682,2024-05,-0.7373576184449337,-8.549999999999955,STEEL
2024-05-28 05:30:00,JSWSTEEL,905.85,915.85,901.2,907.35,1931419,2024-05,0.5987028105770786,1.5,STEEL
2024-05-29 05:30:00,JSWSTEEL,899.6,910.0,896.45,901.9,1740879,2024-05,-0.6006502452196028,2.2999999999999545,STEEL
2024-05-30 05:30:00,JSWSTEEL,900.0,900.8,873.25,883.7,3993159,2024-05,-2.017962080053215,-16.299999999999955,STEEL
2024-05-31 05:30:00,JSWSTEEL,892.0,895.45,877.0,880.55,5249761,2024-05,-0.3564558107955307,-11.450000000000045,STEEL
2024-06-03 05:30:00,JSWSTEEL,912.0,917.7,897.8,915.3,2541803,2024-06,3.946397138152302,3.2999999999999545,STEEL
2024-06-04 05:30:00,JSWSTEEL,914.0,914.0,823.8,841.85,4022430,2024-06,-8.024691358024683,-72.14999999999998,STEEL
